OBJECTID,CODI_ENS,NOM_ENS,EQUIPAMENT,DISTRICTE,TITULARITAT,ZONACOBERTURA,WEB,X,Y,LAT,LON,EXTRACCIO
6829,08200,SANT BOI DE LLOBREGAT,Riu Llobregat,04,MUNICIPAL,ESPAI OBERT,,420202.429,4577833.6991,41.34804803,2.04614616,2024/04/22 13:28:08+00
6830,08200,SANT BOI DE LLOBREGAT,Policia Local,05,MUNICIPAL,DINS EQUIPAMENT,www.santboi.cat,418778.6536,4576366.1486,41.33468837,2.02932579,2024/04/22 13:28:08+00
6831,08200,SANT BOI DE LLOBREGAT,Dreamfit Sant Boi,04,PRIVADA,DINS EQUIPAMENT,https://www.dreamfit.es/centros/sant-boi-de-llobregat,420756.2718,4576057.9775,41.33210972,2.05299733,2024/04/22 13:28:08+00
6832,08200,SANT BOI DE LLOBREGAT,Casal Gent Gran Barri Centre,03,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-gent-gran,419489.7762,4577650.2618,41.346325,2.037653,2024/04/22 13:28:08+00
7041,08200,SANT BOI DE LLOBREGAT,Estadi Municipal de Beisbol,05,CONCERTADA,DINS EQUIPAMENT,http://www.beisbolsantboi.com/,418837.6877,4576454.2727,41.335488,2.03001944,2024/04/22 13:28:08+00
7042,08200,SANT BOI DE LLOBREGAT,Mercat Muncipal de Sant Jordi,04,MUNICIPAL,DINS EQUIPAMENT,,419941.0711,4577016.9452,41.34066605,2.04313016,2024/04/22 13:28:08+00
7043,08200,SANT BOI DE LLOBREGAT,Mercat Ciutat Cooperativa,01,MUNICIPAL,DINS EQUIPAMENT,,418828.8813,4578818.9609,41.35678444,2.02959802,2024/04/22 13:28:08+00
7044,08200,SANT BOI DE LLOBREGAT,Estadi Municipal d'Atletisme Constantí Miranda,05,CONCERTADA,DINS EQUIPAMENT,https://estadiatletisme.cat/,418444.6544,4576447.1382,41.33538406,2.02532386,2024/04/22 13:28:08+00
7045,08200,SANT BOI DE LLOBREGAT,Escola Esportiva Llor,01,PRIVADA,DINS EQUIPAMENT,https://fundaciollor.cat/,418346.3859,4578723.3637,41.35587468,2.02384345,2024/04/22 13:28:08+00
7046,08200,SANT BOI DE LLOBREGAT,Poliesportiu Municipal La Parellada,04,CONCERTADA,DINS EQUIPAMENT,http://sbesports.cat/equipaments/poliesportiu-municipal-la-parellada,420346.4164,4577149.7061,41.34190193,2.04795681,2024/04/22 13:28:08+00
7047,08200,SANT BOI DE LLOBREGAT,Camp Municipal Futbol La Parellada,04,CONCERTADA,DINS EQUIPAMENT,,420391.3187,4577163.0989,41.34202699,2.04849167,2024/04/22 13:28:08+00
7048,08200,SANT BOI DE LLOBREGAT,Camp Municipal de Futbol Casablanca,06,CONCERTADA,DINS EQUIPAMENT,,419561.5694,4576194.8374,41.33322399,2.03870382,2024/04/22 13:28:08+00
7049,08200,SANT BOI DE LLOBREGAT,Parc ciclista Can Dubler,06,CONCERTADA,DINS EQUIPAMENT,http://sbesports.cat/equipaments/parc-ciclista-can-dubler,419518.8048,4575314.1986,41.32528829,2.03830947,2024/04/22 13:28:08+00
7050,08200,SANT BOI DE LLOBREGAT,Camp Municipal de Futbol Marianao Poblet,02,CONCERTADA,DINS EQUIPAMENT,www.cdmarianaopoblet.com,418412.654,4577607.4214,41.3458308,2.02478558,2024/04/22 13:28:08+00
7051,08200,SANT BOI DE LLOBREGAT,Camp municipal de futbol Dani Jarque,01,CONCERTADA,DINS EQUIPAMENT,www.cfciudadcooperativa.com,418469.8691,4578697.7436,41.35565645,2.02532291,2024/04/22 13:28:08+00
7052,08200,SANT BOI DE LLOBREGAT,Cardiopas. Gestión de espacios cardioprotegidos,03,PRIVADA,DINS EQUIPAMENT,https://cardiopas.com/,419748.8421,4577056.4616,41.34100283,2.04082771,2024/04/22 13:28:08+00
7053,08200,SANT BOI DE LLOBREGAT,Espai Fem Memòria,04,PRIVADA,DINS EQUIPAMENT,https://afabaix.org/espais-fem-memoria/,420135.5045,4576920.5717,41.33981736,2.0454664,2024/04/22 13:28:08+00
7054,08200,SANT BOI DE LLOBREGAT,Centre Auditiu Llobregat,03,PRIVADA,DINS EQUIPAMENT,https://centreauditiullobregat.com/?lang=ca,419917.6669,4577735.5867,41.34713613,2.04275567,2024/04/22 13:28:08+00
7055,08200,SANT BOI DE LLOBREGAT,Escola Casablanca,06,CONCERTADA,DINS EQUIPAMENT,https://agora.xtec.cat/esccasablanca/,419507.3004,4576165.7303,41.33295642,2.03805921,2024/04/22 13:28:08+00
7056,08200,SANT BOI DE LLOBREGAT,Áccura Sant Boi,02,PRIVADA,DINS EQUIPAMENT,https://clubsaccura.es/sant-boi,418125.7353,4578583.638,41.35459386,2.02122483,2024/04/22 13:28:08+00
7057,08200,SANT BOI DE LLOBREGAT,Vehicle Policia Local,05,MUNICIPAL,ESPAI OBERT,,418763.0093,4576415.8478,41.3351344,2.02913221,2024/04/22 13:28:08+00
7058,08200,SANT BOI DE LLOBREGAT,Vehicle Policia Local,05,MUNICIPAL,ESPAI OBERT,,418762.2685,4576417.4883,41.3351491,2.02912314,2024/04/22 13:28:08+00
7059,08200,SANT BOI DE LLOBREGAT,Vehicle Policia Local,05,MUNICIPAL,ESPAI OBERT,,418761.4411,4576419.5568,41.33516765,2.02911297,2024/04/22 13:28:08+00
7060,08200,SANT BOI DE LLOBREGAT,Vehicle Policia Local,05,MUNICIPAL,ESPAI OBERT,,418760.6641,4576421.6615,41.33518653,2.02910341,2024/04/22 13:28:08+00
7061,08200,SANT BOI DE LLOBREGAT,Vehicle Policia Local,05,MUNICIPAL,ESPAI OBERT,,418759.8175,4576423.6723,41.33520455,2.02909302,2024/04/22 13:28:08+00
7062,08200,SANT BOI DE LLOBREGAT,Punt d'informació Parc Sanitari Sant Joan de Déu - Hospital General,01,PRIVADA,DINS EQUIPAMENT,https://www.pssjd.org/,418999.4669,4578529.9469,41.35419865,2.03167568,2024/04/22 13:28:08+00
7063,08200,SANT BOI DE LLOBREGAT,Torre del Sol,03,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/centres-oficials#h.p_Ecu6uA7y-4qH,419873.8109,4577620.2902,41.34609336,2.04224674,2024/04/22 13:28:08+00
7064,08200,SANT BOI DE LLOBREGAT,Casal Gent Gran Vinyets - Molí Vell,04,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-gent-gran,420007.865,4576956.2645,41.34012617,2.04393637,2024/04/22 13:28:08+00
7065,08200,SANT BOI DE LLOBREGAT,Botiga Aliments Solidaris,04,MUNICIPAL,DINS EQUIPAMENT,https://www.santboi.cat/voluntariatbotiga,419749.558,4576380.6176,41.33491595,2.04092557,2024/04/22 13:28:08+00
7066,08200,SANT BOI DE LLOBREGAT,Assemblea Creu Roja Sant Boi,04,PRIVADA,DINS EQUIPAMENT,https://www.cruzroja.es/principal/web/cruz-roja/territorial?centro=14898,420678.2737,4576229.2956,41.33364502,2.05204296,2024/04/22 13:28:08+00
7067,08200,SANT BOI DE LLOBREGAT,El Llobregat. Publicació comarcal del Baix Llobregat y L’Hospitalet,02,PRIVADA,DINS EQUIPAMENT,https://www.elllobregat.com,419040.0625,4577613.3742,41.34594771,2.03228317,2024/04/22 13:28:08+00
7068,08200,SANT BOI DE LLOBREGAT,Associació de veïns El Poblet Marianao,02,MUNICIPAL,DINS EQUIPAMENT,,418923.1909,4577895.5866,41.34847767,2.0308487,2024/04/22 13:28:08+00
7069,08200,SANT BOI DE LLOBREGAT,Mercat Municipal La Muntanyeta,03,MUNICIPAL,DINS EQUIPAMENT,,419248.0266,4577556.1272,41.34545299,2.03477625,2024/04/22 13:28:08+00
7070,08200,SANT BOI DE LLOBREGAT,Decathlon Sant Boi,04,PRIVADA,DINS EQUIPAMENT,https://www.decathlon.es/es/store-view/tienda-de-deportes-sant-boi-0070013700137,420305.8661,4575587.7208,41.32782995,2.04767714,2024/04/22 13:28:08+00
